retweetcount,text,sentiment,selected_text
0,"What a match to start the post Corona cricketing action

We need more TESTs 😭

ENGvWI COVID19India",positive, what a match
274,"Dear People of Telangana

State government failed
Protect yourself 

TRSGovtFailed 
COVID19India",negative, failed
0,"BJP4India is hiring even in pandamic COVID19India Referrals are being accepted Sachinpilot SachinPilot JMScindia 
Congratulations in advance RajasthanPolitics LINK",neutral, bjp4india is hiring even in pandamic covid19india referrals are being accepted sachinpilot sachinpilot jmscindia congratulations in advance rajasthanpolitics link
0,WBPolice WBPoliceDept MamataOfficial DilipGhoshBJP Hundreds have gathered in a lodge to celebrate something No one is wearing a mask People are sitting and eating together as if everything is normal Mirpur Near HP Gas godown Kharagpur COVID19India WestBengalPandemic,positive, celebrate
13,"With the increase in the cases of Covid19 in India 

No exams should be held and free promotion for the students should be the only way of moving on

Results should be declared according to the marks obtained in the exams held before Lockdown 1 25 March 20

 NoExamUGC",positive, free promotion
0,Can we all please stop talking about the Kerala Model Karnataka Model or the Delhi Model of containing the COVID19India pandemic and first look at UP for their wonderful containment of the virus in spite of having a 2 crore population myogiadityanath rocks,positive, wonderful
2,"Active COVID19 cases in Mizoram stand at 81 a total of 150 people have been discharged from hospitals
ZoramthangaCM COVID19India 
LINK",positive, a total of 150 people have been discharged from hospitals zoramthangacm covid19india link
1,"coronavirus COVID19India aravali Why do urbanites go to the villages and endanger the existence of the villages   
Why dont they follow the rules☹️",neutral, coronavirus covid19india aravali why do urbanites go to the villages and endanger the existence of the villages why dont they follow the rules☹️
5,"My Opinion Piece on the Economic Transformation underway in India published in the leading Jamaican Daily JamaicaGleaner COVID19 

indiandiplomats IndianDiplomacy 

LINK",positive, my opinion piece on the economic transformation underway in india published in the leading jamaican daily jamaicagleaner covid19 indiandiplomats indiandiplomacy link
0,🙏thetribunechd BiIndia TimesNow news18dotcom DeccanHerald Outlookindia livemint   for amplfyng msg🇮🇳COVID19Multisystem disease🙏MoHFWINDIA narendramodi PMOIndia for ongoing efforts to manage COVID19India akriti15 MVMadhavanMD shiwanimahajan  tejasavsehrawat,neutral, 🙏thetribunechd biindia timesnow news18dotcom deccanherald outlookindia livemint for amplfyng msg🇮🇳covid19multisystem disease🙏mohfwindia narendramodi pmoindia for ongoing efforts to manage covid19india akriti15 mvmadhavanmd shiwanimahajan tejasavsehrawat
0,"not only Bachchan families coronavirus positive

292258 people in my country have corona positive 
Pray for everyone 
bachchanfamily abishekbachan AmitabhBachchan COVID COVID19India AishwaryaRaiBachchan IndiaFightsCorona IndiaFightsCOVID19",positive, positive
0,WHO reports record daily rise in global COVID19 cases up over 2300 LINK Covid19 coronavirus UnitedStates Brazil India SouthAfrica USA,positive, who reports record daily rise in global covid19 cases up over 2300 link covid19 coronavirus unitedstates brazil india southafrica usa
0,"SrBachchan Get well soon  SrBachchan Wishing you a speedy recovery ️🙏 
AmitabhBachchan 
coronavirus 
COVID19India 
CoronaUpdatesInIndia 
Covid19",positive, wishing you a speedy recovery
9,"Hi Guys plz take care of yourselves 
Why COVID  19 is spreading fast 
StayHomeStaySafe Saveyourself 
COVID COVID19 COVID19India 
I am tagging all my friends LINK",positive, stayhomestaysafe
5,"JKP Newspick
Apple iPhone assembling company Foxconn to expand India plant by investing 1 billion dollar So Apple is moving away from china
Apple Tech4All Covid19 BoycottChineseProducts banchinaproducts COVID19 
LINK",neutral, jkp newspick apple iphone assembling company foxconn to expand india plant by investing 1 billion dollar so apple is moving away from china apple tech4all covid19 boycottchineseproducts banchinaproducts covid19 link
0,"Lockdown in Bengaluru from July 14 to July 2 Its a good decision by Government and lets all respect and fulfill this religiously
COVID19India  BengaluruLockdown StaySafeStayHealthy",positive, good
3,"Madhya Pradesh Covid19 Daily Report 12 July

MadhyaPradesh reported 431 positive cases of Covid19 and 197 recoveries today increasing the States tally to 17632 cases including 12876 recoveries amp 653 deaths

Covid19india COVID19India CoronaVirusUpdates LINK",positive, positive
2,"Himachal Corona Daily Report 12 July 9 PM report

31 new positive cases of Covid19 and 21 recoveries were reported in HimachalPradesh today Total cases in the hillState stands at 1213 including 916 recoveries and 1 fatalities

COVID19India  Covid19 LINK",positive, positive
0,"Government Has need to think about Exam how you can conduct exam in this COVID19India Circumstances
cancelallexams  studentvocie 
ashchanchlani",neutral, government has need to think about exam how you can conduct exam in this covid19india circumstances cancelallexams studentvocie ashchanchlani
0,Amitabh Bachchan AmitabhBachchan India India Movies Bollywood superstars hospitalised with Covid19 as virus rages in India via LINK,neutral, amitabh bachchan amitabhbachchan india india movies bollywood superstars hospitalised with covid19 as virus rages in india via link
7,"noexamcusat
Confirmed via sourcesunauthentic 
Once the cusat exams are completed COVID19India will end This is the only reason why CUSAT is adamant over the exams",neutral, noexamcusat confirmed via sourcesunauthentic once the cusat exams are completed covid19india will end this is the only reason why cusat is adamant over the exams
0,"Since the Russians got the vaccines
I hope they offer a vodka shot with it as a celebratory drink
coronavaccine
COVID19India
coronavirus
CoronaUpdatesInIndia
SourceLINK",neutral, since the russians got the vaccines i hope they offer a vodka shot with it as a celebratory drink coronavaccine covid19india coronavirus coronaupdatesinindia sourcelink
5,"Our current projections indicate 1214 million cases by July 30 and high alert in eastern Bihar Odisha West Bengal and southern States Karnataka Telangana Andhra Pradesh says ⁦⁦BhramarBioStat⁩ 
covid19 India  LINK",positive, our current projections indicate 1214 million cases by july 30 and high alert
0,"vijayrupanibjp 100 units of electricity was to be given free which was never given and this month bill is 4 times than normal 12 thousand  bill for normal houses 
 COVID19India IndiaFightsCorona loot Looters GujaratCoronaUpdate GujaratModel IndiaFightsCOVID19",positive, free
0,"LINK
PM Modi reviews COVID situation
Request to all please stay home everyone 🙏
PMModi Covid19 COVID NarendraModi COVIDUpdates narendramodi PMOIndia PMNarendermodi narendramodi177 COVID19India",neutral, link pm modi reviews covid situation request to all please stay home everyone 🙏 pmmodi covid19 covid narendramodi covidupdates narendramodi pmoindia pmnarendermodi narendramodi177 covid19india
0,"New COVID19 cases July 1 20
16 countries with 2000 or more new COVIDー19 cases

Source
LINK

Corona COVID19 CoronaVirusUpdate  COVID2019 CoronavirusPandemic CoronavirusUSA Covid19 COVID Coronavirus SARSCoV2 Brazil Russia India Peru Iran LINK",positive, new covid19 cases july 1 20 16 countries with 2000 or more new covidー19 cases source link corona covid19 coronavirusupdate covid2019 coronaviruspandemic coronavirususa covid19 covid coronavirus sarscov2 brazil russia india peru iran link
1,But dexa will not generate revenue for Industry as these expensive drugs will More imp is encashing COVID19India LINK,positive, but dexa will not generate revenue for industry as these expensive drugs will more imp is encashing covid19india link
0,"what is the significance of 8pm curfew in India

CoronaUpdatesInIndia 
COVID19India 
coronavirus",neutral, what is the significance of 8pm curfew in india coronaupdatesinindia covid19india coronavirus
1,"Aishwarya Rai Bachchan and her daughter Aaradhya also tested positive for COVID19

full newsLINK

aishwaryarai punjab chandigarh delhi ludhiana  jalandhar news wmk mohali canada america pune lucknow india LINK",positive, lucknow
1,"REGIONAL  Darrang Doctor Tests COVID 
COVID19India AssamCovidCount doctors CoronaWarriors CoronaWarrior AssamNews 
LINK",neutral, regional darrang doctor tests covid covid19india assamcovidcount doctors coronawarriors coronawarrior assamnews link
0,"From 3500 cases daily to seeing the last two Sundays register a measly 1500 cases its nice to see Delhi allowing Coronavirus with a Sunday off every week
The Delhi government cooking numbers and feigning a wavering downward spiral isnt fooling anyone Covid19 india",positive, nice
2,Hello COVID19India we got Mission30M  to fight against you RHA LINK,neutral, hello covid19india we got mission30m to fight against you rha link
5,"Mark your calendars for WorldBankIndias latest Lighthouse webinar Nobel laureate amp JPAL cofounder Abhijit Banerjee will join JUNAIDWBG for a conversation on Indias social protection architecture in the times of a pandemic outbreak
More on LINK LINK",positive, mark your calendars for worldbankindias latest lighthouse webinar nobel laureate amp jpal cofounder abhijit banerjee will join junaidwbg for a conversation on indias social protection architecture in the times of a pandemic outbreak more on link link
0,1 Million infections likely by next week COVID19India LINK,positive, 1 million infections likely by next week covid19india link
0,AishwaryaRaiBachchan AradhyaBachchan AbhishekBachchan AmitabhBachchan get well soon all 🙏️💫God strengthen your fight with this COVID19India prayers for all🙏🙏🤗😇,neutral, aishwaryaraibachchan aradhyabachchan abhishekbachchan amitabhbachchan get well soon all 🙏️💫god strengthen your fight with this covid19india prayers for all🙏🙏🤗😇
0,"Indias coronavirus caseload is nearing 8500 with a record surge of 28637 in the past 24 hours

India COVID19 Lockdown 

LINK",positive, record surge of 28637 in the past 24 hours india covid19 lockdown link
0,docparry I completely agree with your sentiment about people being careless its very frustrating Thank you for deleting the tweet We lost a very close friends mother and have been a part of their grief They were careful they took all the precautions MaskUpIndia COVID19India,negative, frustrating
0,COVID19India  JK records highest spike of 357 fresh positive cases today toll mounts to 10513 so far,positive, positive
0,"Stay Safe
COVID19India 
SocialDistancing 
StayHomeStaySafe LINK",positive, stay safe
0,smritiirani juniorbachchan SrBachchan Also pray for rest Lakhs of COVID19India infected people n not just for SrBachchan s family covid19,neutral, smritiirani juniorbachchan srbachchan also pray for rest lakhs of covid19india infected people n not just for srbachchan s family covid19
1,"1269 Covid19 cases and 8 death reported in Telangana in past 24 hours

cases in Hyderabad 800

Sample tested 8153
Till date total sample tested 170324

Total positive 34671
Discharged 2482
Death 356
Active 183 TelanganaFightCorona CoronaVirusUpdates COVID19India LINK",positive, positive
112,"To all the idle rich Indians asking me if there is a trustworthy amp transparent fund they can contribute to to help support CoronaWarriors like nurses policemen etc  there is 
Its called TAXES 
DoYourBit 
COVID19India",positive, trustworthy
1,"Covid19 active cases in Nagaland stand at 47 while 327 patients have recovered
DGPNagaland NeiphiuRio MyGovNagaland RajBhavanKohima  COVID19India PMOIndia narendramodi drharshvardhan
LINK",positive, recovered
0,"TelanganaCovidFailure
TeenmaarMallanna
TelanganaFightsCorona COVID19India
What is going on Telangana Watch this link ones
👇👇👇👇👇👇

LINK",neutral, telanganacovidfailure teenmaarmallanna telanganafightscorona covid19india what is going on telangana watch this link ones 👇👇👇👇👇👇 link
0,"He went to Delhi Markez in Tabligi jamat for 40 days amp when he came back he tested positive for Covid 19

zoobear irenaakbar asadowaisi RanaAyyub 07AliSohrab PoojaB1972 isupportsunitayadav AsantiUhuru india SalmanKhan SushantSinghRajput LINK",positive, isupports
1,Lockdown imposed again in a few cities and districts across India Was unlock1 a bad decision Or was it the same old story that we never learn from our mistakes COVID19India COVID19 COVIDー19,negative, bad
0,"isupportsunitayadav
SAVESURAT
RUPANIJISENAHOPAEGA
CRPaatil Sir please made PMOIndia amp narendramodi Sir AmitShah ji to interfere amp save surat from COVID19India 🙏🙏",neutral, isupportsunitayadav savesurat rupanijisenahopaega crpaatil sir please made pmoindia amp narendramodi sir amitshah ji to interfere amp save surat from covid19india 🙏🙏
1,"BREAKING
Television actor Parth Samthaan test positive for COVID19

Coronavirus COVID19 Positive India DY365 LINK",positive, positive
0,"juniorbachchan SrBachchan AishwaryaRaiBachchan AaradhyaBachchan 
All of you Get well Soon 
COVID19 is pandemic but we have to Prepare our Self Mentally fight againts this COVID19India",neutral, juniorbachchan srbachchan aishwaryaraibachchan aaradhyabachchan all of you get well soon covid19 is pandemic but we have to prepare our self mentally fight againts this covid19india
0,"Congratulations Russia for successfully completing clinical trials of 
COVID19 VACCINE
Russia 
COVID Covid19 COVID19India COVIDVACCINE",positive, congratulations
0,"Get Well Soon LaghateParth amp We All SalmanKhan Praying For Your Health Speedy Recovery  
COVID19India COVIDー19",positive, praying
0,"When we see LocustsAttack in Lucknow
Corona
COVID19India
locustswarms
Lucknow LINK",neutral, when we see locustsattack in lucknow corona covid19india locustswarms lucknow link
0,"MD Anesthesia is the new Tata Consultancy Services TCS Job in India

anesthesia TCS Medical NEET2020 thedoctorweneed COVID19India Covid19",positive, md anesthesia is the new tata consultancy services tcs job in india anesthesia tcs medical neet2020 thedoctorweneed covid19india covid19
1,"Never think I have Nothing
Never think I have Everything
But always think I have Something and can Achieve Anything
I am a Big fan of Myself
DataScience MotivationalQuotes COVID19India",neutral, never think i have nothing never think i have everything but always think i have something and can achieve anything i am a big fan of myself datascience motivationalquotes covid19india
0,rananth democracy could be one of the reason In democracy every move is questioned and people choose what they feel right like wearing masks social distancing etc COVID19India,positive, rananth democracy could be one of the reason in democracy every move is questioned and people choose what they feel right
6,"Uttar Pradesh Corona Daily Report 12 July

UttarPradesh reported 1384 positive cases of Covid19 amp 21 fatalities today increasing the States tally to 36m476 cases including 2334 recoveries and 934 deaths

Follow TimesDemocracy for fastest Covid19 updates

COVID19India LINK",positive, positive
0,"Hospitals are to be Hospitals They are not commercial malls 

Covid19 coronavirus India",neutral, hospitals are to be hospitals they are not commercial malls covid19 coronavirus india
0,"Corona actually knocked India yesterday
Bacchan family being the first to suffer from it Rest 8 lacs were faking 
india ajtak coronavirus COVID19India AatmaNirbharBharat",positive, corona actually knocked india yesterday bacchan family being the first to suffer from it rest 8 lacs were faking india ajtak coronavirus covid19india aatmanirbharbharat
1,"COVID19India
357 new positive cases reported from JK today 
84 recoveries also reported

Srinagar97
Baramulla31
Kulgam13
Shopian13
Anantnag7
Kupwara25
Pulwama1
Budgam29
Bandipora29
Ganderbal40
Jammu15
Udhampur1
Kathua8
Ramban7
Rajouri6
Samba20
Doda4
Kishtwar1",positive, positive
0,Its simple Please wear mask 😷 WearAMask COVID19India Covid19 SocialDistancing LINK,positive, its simple
0,"Shame on that kind of peoples 

Karma 
COVID19India 
OdishaFightsCorona 
Quarantine 
CoronavirusIndia 
CoronaWarriors 🙏️",negative, shame
0,"LINK
Corona Bharat Chhodo Watch Video 
coronavirus COVID19India Covid19 CoronaVirusUpdates CoronavirusIndia",neutral, link corona bharat chhodo watch video coronavirus covid19india covid19 coronavirusupdates coronavirusindia
0,"TimesNow thenewshour Agree 
In India it remained bygone conclusion that it would be Herculean Task to contain spread of Covid19 on account of the thick density of Population amp its reckless Movement amp Migration

IndiaFightsCorona
CoronaVirusUpdates
CoronavirusOutbreak
CoronavirusPandemic",negative, reckless
0,"airvistara 

My PNR RXPVSI and date of journey was 15th April Flight got cancelled due to national wide lockdown COVID19India Now I am not planning any travel in future and requiring my full refund Pls let me know how to proceed further Thanks HardeepSPuri",positive, thanks
1,"Top 9 National CoronaVirusUpdates Of The Day

TV9News CoronavirusIndia COVID19India LINK",positive, top
0,"Strictly No RIDES until situation improves Stay Home Stay Safe 🙏🏻

bibzstringman curvencurls twowheelzmusic royalenfield TimsunIndia bibzstringman StayHomeStaySafe majorlovemissing COVID19India artofmotorcycles love cuttack odisha odiatoka odiablogger LINK",positive,"Strictly No RIDES until situation improves Stay Home Stay Safe 🙏🏻

bibzstringman curvencurls twowheelzmusic royalenfield TimsunIndia bibzstringman StayHomeStaySafe majorlovemissing COVID19India artofmotorcycles love cuttack odisha odiatoka odiablogger LINK"
28,"India recovery rate 61
India deceased rate 3

Telangana R 58
Telangana DR 1

Numbers speak a streamlined database would save as much as all critically ill COVID19 patientsABUSE 

plasmadonors a genuine concern

drharshvardhan EatalaRajender Kurmanath 

VoiceLoud LINK",positive, genuine concern
1,"Chhattisgarh Corona Daily Report 12 July Till 9 PM 

Chhattisgarh reported 184 positive cases amp 83 recoveries today increasing the States tally to 4081 cases including 3153 recoveries and 19 deaths

Follow TimesDemocracy for fastest Covid19 updates 

 COVID19India LINK",positive, positive
0,"Right now Wearing mask is better than wearing ventilator

Corona COVID19 COVID19India",positive, better
0,"Karnataka has recorded 2627 fresh coronavirus cases in the last 24 hours taking the tally to 38843 in the state while the death toll mounted to 684 a health official said on Sunday

Covid19 COVID19India 

Photo IANS LINK",positive, karnataka has recorded 2627 fresh coronavirus cases in the last 24 hours taking the tally to 38843 in the state while the death toll mounted to 684 a health official said on sunday covid19 covid19india photo ians link
0,"COVID 19 cases in India until  120720 2130

Total Cases 872784 2425😅
Active 299659🖖🏽
Recovered 549656 13425
Deaths 23087 400🙏🏼
Total Tests 159M🧪

Data covid19indiaorg
CoronaVirus COVID19inIndia India Bot",positive, recovered 549656 13425 deaths 23087 400🙏🏼
10,"No satisfactory reply since 23rd June 20 ☹️☹️
SchoolFees COVID19India lockdown NoSchoolNoFee HRDMinistry PMOIndia cmohry LINK",positive, satisfactory
1,"ParthSamthaan Actor Coronavirus COVID19 Positive India DY365
Television actor Parth Samthaan tested positive for COVID19 LINK",positive, positive
0,"4000 discharges today in Bengaluru

COVID19India",neutral, 4000 discharges today in bengaluru covid19india
0,"At one place we are trying to find the medicine of Covid19 at the other end we are admitting people in the hospital when there is no medicine what are people doing in the hospital 
Covid COVID19India Corona Coronavirus India",negative, there is no medicine
0,Biocon Ltd has received regulatory approval for its drug Itolizumab on coronavirus infected patients suffering from moderate to severe respiratory distress Itolizumab is used to cure the skin disease psoriasis COVID19India clinicaltrials,negative, suffering from moderate to severe respiratory distress
1,Goa reported 85 new cases of COVIDー19 and 59 patients cured and discharged on Sunday taking its total number of active cases to 952 GovtofGoa DHSGoa COVIDUpdates COVID19India,positive, cured and discharged on sunday taking its total number of active cases to 952 govtofgoa dhsgoa covidupdates covid19india
1,"And become 3rd worst country hitted by COVID19India
 nonsense bjpfailsindia LINK",negative, worst
0,"Andhra Pradesh reporting highest number of daily cases in India despite of having no metro cities 
COVID19India",positive, highest
0,"Maybe this  man dont know the number of Coronavirus cases in India
Jo kuch man me aye vo bol do Nice policy followed by this baldheaded guy
Just go through the last line said by this great manIdiot

bjp modi COVID19India CoronavirusIndia fake
AmitShah mindless LINK",positive, nice
7,That is one of the many reasons why I am compelled to use the noexamcusat because you are just like my university COVID19India me bhi inko exam ki padi h LINK,positive, that is one of the many reasons why i am compelled to use the noexamcusat because you are just like my university covid19india me bhi inko exam ki padi h link
0,"Looks like everyone will end up having coronavirus sooner or later It will come down to the age and immunity of the individual
Covid19 COVID19India bachchanfamily",positive, looks like everyone will end up having coronavirus sooner or later it will come down to the age and immunity of the individual covid19 covid19india bachchanfamily
1,"Prayers and series of tweets for celebrities suffering from COVID19India who would be getting treatment from best doctors in country
Guess we also pray for those who are struggling for even hospital beds Some tweets for them too
Some lives are more important than others",positive, pray
0,NayantaraRai COVID19India seems to be very lucky for RIL and Jio Hope they dont pray for its long life,positive, lucky
3,"Punjab Corona Daily Report 12 July

Punjab reported 234 new cases of Covid19 in the last 24 hours while 352 patients recovered in the same period as active cases in the State rose to 230

Follow  TimesDemocracy for fastest Covid19 updates 

 Covid19india COVID19India LINK",positive, recovered in the same period as active cases in the state rose to 230 follow timesdemocracy for fastest covid19 updates covid19india covid19india link
1,"COVID19 cases amp deathsmillion in India are among the lowest in the world 
amitabhk87  CEO NITI Aayog

COVID19India IndiaNews India 

LINK via theindtv",neutral, covid19 cases amp deathsmillion in india are among the lowest in the world amitabhk87 ceo niti aayog covid19india indianews india link via theindtv
0,"❗❗Russias Sechenov University Successfully Completes Trials of Worlds 1st COVID19 Vaccinev❗❗

Lets hope theyre not kidding us 
coronavirus coronavaccine SechenovUniversity RussianVaccine COVID19India Covid19Vaccine LINK",positive, successfully completes trials of worlds 1st covid19 vaccinev❗❗ lets hope
1,"According to the ministry data📈 the COVID19 cases in India has surpassed 8000mark​ In order to cut  the chain of the transmission of COVID19 the country suspended the commercial international flights✈ to and from India
Read more via ​LINK LINK",positive, according to the ministry data📈 the covid19 cases in india has surpassed 8000mark​ in order to cut the chain of the transmission of covid19 the country suspended the commercial international flights✈ to and from india read more via ​link link
4,"Our Volunteers Distributing Essential Grocery Packets amp SanitaryPadsto Needy People in VersovaVidhansabha who are highly impacted during this Pandemic CoronaVirus Covid19
StayHome  IndiaFightsCorona lockdownindia  CoronaWillEndSoon  versova COVID19India LINK",positive, who are highly impacted
0,"Cover your nose and mouth with your bent elbow or a tissue when you cough or sneeze

Stay home if you feel unwell

If you have a fever cough and difficulty breathing seek medical attention
coronavirus Covid19 COVID19India 
Retweet now 
Shear now",negative,"Cover your nose and mouth with your bent elbow or a tissue when you cough or sneeze

Stay home if you feel unwell

If you have a fever cough and difficulty breathing seek medical attention
coronavirus Covid19 COVID19India 
Retweet now 
Shear now"
0,"CMofKarnataka drharshvardhan PMOIndia 
COVID19India 
In a day r two Karnataka will overtake Gujarat amp move to 4th Spot  
July  v cases are gt 20k 12 days
Which might be concern for any commoner who is living in Karnataka  
There should be a Lab in Each District",neutral, cmofkarnataka drharshvardhan pmoindia covid19india in a day r two karnataka will overtake gujarat amp move to 4th spot july v cases are gt 20k 12 days which might be concern for any commoner who is living in karnataka there should be a lab in each district
0,"The national capital witnessed 1573 new cases and 37 deaths raising the coronavirus tally to 112494 and toll to 3371 according to the Delhi governments daily bulletin on Sunday

Covid19 COVID19India LINK",positive, the national capital witnessed 1573 new cases and 37 deaths raising the coronavirus tally to 112494 and toll to 3371 according to the delhi governments daily bulletin on sunday covid19 covid19india link
0,"This One 

⬇️

COVID19India Covid19 Covid19Karnataka AmitabhBachchan AaradhyaBachchan coronavirus IndiaFightsCorona LINK",neutral, this one ⬇️ covid19india covid19 covid19karnataka amitabhbachchan aaradhyabachchan coronavirus indiafightscorona link
0,"COVID19India

Telangana

New Cases  1269
Active Cases  183
Total Cases  34671 LINK",positive,"COVID19India

Telangana

New Cases  1269
Active Cases  183
Total Cases  34671 LINK"
0,This is so important for all of us in a highly populated country like India COVID19India Covid19 COVID19 LINK,positive, important
2,"⁦epigiri⁩ The hard reality is that no city is immune to COVID19 infection and the virus reminds us that the battle in tackling the pandemic is still in the initial stages
Covid19 India
 LINK",negative, hard
0,"our NobelPrize  2009  Honor Sir VenkiRamaKrishnan research are fully useful on COVID19India he is research articles are also helpful to scientists   

LINK  

royalsociety  
MRCLMB 
MRCLMS LINK",positive, useful
16,"A map prepared by CSIRNEERI Mumbai showing COVID19 cases in Maharashtra 12th July 20

coronavirus CoronaVirusUpdates CoronavirusPandemic MEDD unlock  MumbaiFightsCovid19 stayathome  COVID19India BEGIN SafetyFirst MaskUp WashYourHands LINK",neutral, a map prepared by csirneeri mumbai showing covid19 cases in maharashtra 12th july 20 coronavirus coronavirusupdates coronaviruspandemic medd unlock mumbaifightscovid19 stayathome covid19india begin safetyfirst maskup washyourhands link
1,"coronavirus pandemic Covid19 Update as on 120720

World 
PC 12896904  D 568587  MR 441

India
PC 849553  D 2674  MR 267

AndhraPradesh 
PC 29168  D 328  MR 112

Visakhapatnam
PC 2078  D 25  MR 120

SocialDistancing
WearAMask 
handwashing 
stayhome",neutral, coronavirus pandemic covid19 update as on 120720 world pc 12896904 d 568587 mr 441 india pc 849553 d 2674 mr 267 andhrapradesh pc 29168 d 328 mr 112 visakhapatnam pc 2078 d 25 mr 120 socialdistancing wearamask handwashing stayhome
1,"Earlier HOMES used to b locked during weekends
Now We have to be locked in homes during weekends
Weekendlockdown
Revengeoftime  COVID19India Irony familytime",negative, irony familytime
0,Idea your mobile connection in Chennai sucks big time Really finding it hard to connect with people High time we move to some other network where we get better service Your customer care is of no use been trying to reach them from yesterday COVID19India,negative, sucks
0,AmitShah may be you feel you are in laughter club because right now India on 3rd position Covid19 Dont forget you are Home Minister of India dhruvrathee TheDeshBhakt LINK,positive, dont forget you are home minister of india dhruvrathee
0,"Strict Lockdown imposed in Kashmir 
Covid19 COVID19India lockdown LINK",positive, strict
122,"Zydus vaccine for COVID19 ZyCoVD successfully completes preclinical development and receives permission to initiate human clinical trials
LINK

IndiaFightsCorona COVID19 covid19india covid19news",positive, successfully
0,"As per various news articles if found true and authentic then Sechenov Medical University claims to prepare and successfully completed trials of world first covid 19 vaccine
COVID19India coronavaccine COVID19 LINK flyingbeast320  PMOIndia SrBachchan LINK",positive, successfully
1,Tag that betting raja 😂😂 myownconcept vamsikotu funtime coronabetting 😂 COVID19India LINK,neutral, tag that betting raja 😂😂 myownconcept vamsikotu funtime coronabetting 😂 covid19india link
0,"Gujarats highest singleday spike of 879 COVID19 cases takes tally to 41897

️ Death of 13 more patients pushes toll to 2047

GujaratCoronaUpdate COVID19India CoronavirusIndia LINK",positive, gujarats highest singleday spike of 879 covid19 cases takes tally to 41897 ️ death of 13 more patients pushes toll to 2047 gujaratcoronaupdate covid19india coronavirusindia link
5,"Heres the districtwise Coronavirus infections amp recoveries breakdown in TamilNadu  

COVID COVID19India CoronaOutbreak TN CoronaVirus IndiaFightsCorona CoronaUpdate CoronaTNUpdate StayHomeStaySafe StayHomeSaveLives BreakTheChain FlattenTheCurve GalattaCares LINK",neutral, heres the districtwise coronavirus infections amp recoveries breakdown in tamilnadu covid covid19india coronaoutbreak tn coronavirus indiafightscorona coronaupdate coronatnupdate stayhomestaysafe stayhomesavelives breakthechain flattenthecurve galattacares link
0,"Dear Media 
Its not just Amitabh Ji who tested positivethere are 8 lakhs more with him 
Kindly pray for them also 
AmitabhBachchan 
COVID19India
ABPNews ajtak otvnews indiatvnews republic",positive, kindly
24,DMK MLAfrom thiruporur chengalpattu district involved in gun fight with other party and shot a man in road Strong action needs to be taken LINK கள்ளதுப்பாக்கிதிமுக gunshoot CoronavirusIndia  COVID19India PMOIndia CMOTamilNadu admk dmk,negative, shot
0,Just finished a Virtual Caricature Art Party Experience from India Just amazing what is happening w BigHeadCartoon my grandmother being from India made this one particularly special 🙏 virtualparty COVID19 LINK,positive, amazing
0,Dear narendramodi sir banks are becoming the new transmission hub of COVID19India kindly consider to open banks on alternate days to breakthechain also proper sanitation of branch Because without live there is no livelihood DFSIndia PMOIndia nsitharamanoffc ChairmanIba,positive, kindly
0,FMCG sales in fast lane ITC Godrej Dabur Emami report robust sales in rural areas LINK finance india industry,positive, robust
0,"Avail 31 Off On Dabur Sanitize γ  Hand Sanitizer  Alcohol Based Sanitizer  450 ml Limited Stocks Left

LINK

Covid19India",negative, sanitize
1,"CoronaUpdates

TS
👉New 1269Samples 81k
👉Total 34671
👉Active 183
👉Deaths 356

AP
👉New 1933176k
👉Total 29168
👉Active 13428
👉Deaths 328

Total India Cases 875L

COVID19India CoronavirusIndia",positive, coronaupdates ts 👉new 1269samples 81k 👉total 34671 👉active 183 👉deaths 356 ap 👉new 1933176k 👉total 29168 👉active 13428 👉deaths 328 total india cases 875l covid19india coronavirusindia
3,christiniversity its not new dont again pretend to be student friendly Every individual know your cunning level  christuniversitycancelexams ugccancelexam MentalHealthMatters StudentsLivesMatter studentban CancelExam2020 COVID19India pandemic nidhiindiatv LINK,positive, friendly
0,"If tested positive do as the bachchans do Responsibly totally owning it 

COVID19India Covid19 AmitabhBachchan AbhishekBachchan AishwaryaRaiBachchan bachchanfamily",positive, responsibly
0,"Its great to see the spirit with which each country is facing Covid19 across the globe 
But at same time  thinking how effective things in India would have been if all political parties and states would have shown united spirit to fight COVID down
COVID19India",positive, great
4,"COVID19 Financially struggling Lawyer starts selling vegetables outside High Court
Law Latest LatestLaws LegalNews India IndianNews News Legal Covid19 Finance Lawyer Lawyers VEGETABLES 
LINK",positive, covid19 financially struggling lawyer starts selling vegetables outside high court law latest latestlaws legalnews india indiannews news legal covid19 finance lawyer lawyers vegetables link
1,IndiGo crew got tested positive after she closed a overhead bin containing infected passengers luggage All crew out there please be safe COVID19India AviationDuringCovid19 LINK,positive, please be safe
0,THE PENSION SCHEME OF EX MLAampMP SHOULD BE STOPPED TILL GROWTH OF INDIAN ECONOMY ALSO REDUCE THE SALARY OF PRESENT MPamp MLA TO 70COVID19India narendramodi FinMinIndia AmitShah ITS MY OPINIONS BUT DEPENDS UPON PRESENT GOVERNMENT,neutral, the pension scheme of ex mlaampmp should be stopped till growth of indian economy also reduce the salary of present mpamp mla to 70covid19india narendramodi finminindia amitshah its my opinions but depends upon present government
2,We are absolutely going on a wrong path of managing COVID19India  False reports false data wrong testing less testing selective testing The picture is absolutely different than what is shown narendramodi AmitShah vijayrupanibjp pls do something,negative, wrong
